Bigass NES Mapper List 0.1 - This document is intended to serve as some sort
of master list for ROMs.  For example, say you find something set to the
wrong mapper, but you have no idea where it should be - check here and save
yourself time.

What it is - A damn near complete list of all the .NES format ROMs out there,
             with a proverbial buttload of entries (don't feel like counting)
             and mapper info for each.  

What it's not - Entirely complete.  There's a rather large number of Japanese
                ROMs missing from this list (Hi, Keropi!) but I don't feel
                that their absence is that big of a deal, considering that
                those particular ROMs are only in the hands of a -very- few
                people.  Consider this a complete list for "findable" ROMs.
                Also, the mirroring info given isn't always to be trusted.
                These just happen to be what mine are set on, so if one doesn't
                work, flip it.

Suggestions - If you have some suggestions for the list, mail me at the address
              below.  Should I divide these up into US/Japanese/Euro, or leave
              it like it is?  Also, what about FDS games - any use in adding
              those?

If you have any questions or whatnot, you can mail me at lugnut@hotmail.com


-

Title                           Size                Mirroring   Mapper

10 Yard Fight                   32k PRG / 8k CHR        H       ---- (0)
10 Yard Fight (J)               16k PRG / 8k CHR        H       ---- (0)
100 In 1 - Contra Function 16   1024k PRG / 0k CHR      V       (15)
100 Kiyagyou                    128k PRG / 128k CHR     H       MMC1 (1)
100 Man Doru Kid                256k PRG / 0k CHR       H       UNROM (2)
110 in 1 Menu                   16k PRG / 8k CHR        V       ---- (0)
1200 In 1                       512k PRG / 0k CHR       H       (227)
1942 (J)                        32k PRG / 8k CHR        H       ---- (0)
1943                            128k PRG / 0k CHR       H       UNROM (2)
1943 (J)                        128k PRG / 0k CHR       H       UNROM (2)
1944                            128k PRG / 0k CHR       H       UNROM (2)
1999 Hore Mitakotoka Sekimatsu  256k PRG / 128k CHR     V       MMC3 (4)
3D Worldrunner                  256k PRG / 0k CHR       V       Nina-1 (34)
58 In 1                         1024k PRG / 512k CHR    H       (225)
58 In 1 Menu                    16k PRG / 8k CHR        V       ---- (0)
72 In 1                         1024k PRG / 512k CHR    H       (225)
720                             128k PRG / 0k CHR       V       MMC1 (1)
76 In 1 Menu                    32k PRG / 0k CHR        H       ---- (0)
8 Eyes                          128k PRG / 128k CHR     H       MMC3 (4)
8 Eyes (J)                      128k PRG / 128k CHR     H       MMC3 (4)
'89 Dennou Hosi Uranai          256k PRG / 0k CHR       H       MMC1 (1)


A-Ressya De Ikou                128k PRG / 16k CHR      H       MMC1 (1)
Abadox				128k PRG / 128k CHR	H	MMC1 (1)
Abadox (J)                      128k PRG / 128k CHR     H       MMC1 (1)
Abarenbou Tengu			128k PRG / 128k CHR	H	MMC3 (4)
Acchi Kocchi Socchi		128k PRG / 128k CHR	H	MMC1 (1)
Action 52                       1536k PRG / 512k CHR    H       (228)
Addams Family, The		128k PRG / 128k CHR	H	MMC1 (1)
Addams Family 2, The (Pugsley)  128k PRG / 128k CHR     H       MMC1 (1)
Adventure Island                32k PRG / 32k CHR       H       CNROM (3)
Adventure Island 2		128k PRG / 128k CHR	H	MMC3 (4)
Adventure Island 3		128k PRG / 128k CHR	H	MMC3 (4)
Adventures in the Magic Kingdom	128k PRG / 128k CHR	H	MMC1 (1)
Adventures of Bayou Billy	128k PRG / 128k CHR	V	MMC1 (1)
Adventures of Bayou Billy (PAL) 128k PRG / 128k CHR	H	MMC1 (1)
Adventures of Captain Comic	64k PRG / 64k CHR	V	Colour Dreams (11)
Adventures of Dino-Riki		32k PRG / 32k CHR	V	CNROM (3)
Adventures of Lolo              32k PRG / 32k CHR       H       MMC1 (1)
Adventures of Lolo (J)          32k PRG / 32k CHR       H       MMC3 (4)
Adventures of Lolo 2            32k PRG / 32k CHR       H       MMC3 (4)
Adventures of Lolo 3            128k PRG / 128k CHR     H       MMC1 (1)
Adventures of Rad Gravity, The  128k PRG / 128k CHR     H       MMC1 (1)
Adventures of Rad Gravity (PAL) 128k PRG / 128k CHR     H       MMC1 (1)
Adventures of Rocky & Bullwinkle128k PRG / 120k CHR     H       MMC3 (4)  <--missing 8k
Adventures of Tom Sawyer, The   128k PRG / 128k CHR     V       MMC1 (1)
Afterburner 2 (J)               128k PRG / 256k CHR     V       Sunsoft 4 (68)
Ai Sensei no Oshiete Watashi no Hosi    256k PRG / 128k CHR     H       Irem G-101 (32)
Aigiina no Yogen                128k PRG / 0k CHR       V       UNROM (2)        
Air Fortress			128k PRG / 32k CHR	H	MMC1 (1)
Air Fortress (J)                128k PRG / 128k CHR     H       MMC1 (1)
Airwolf				32k PRG / 128k CHR	H	MMC1 (1)
Airwolf (PAL)			32k PRG / 128k CHR	H	MMC1 (1)
Akira                           128k PRG / 256k CHR     V       MMC3 (4)
Akuma Kun                       128k PRG / 128k CHR     H       Bandai (16)
Akuma no Shoutaijou             128k PRG / 128k CHR     H       MMC3 (4)
Akumajo Dracula                 128k PRG / 0k CHR       V       UNROM (2)
Akumajo Dracula 3		256k PRG / 128k CHR	V	VRC6 (24)
Akumajo Dracula 3 [Hacked]	256k PRG / 128k CHR	V	Bandai (16)
Al Unser Jr's Turbo Racing	128k PRG / 128k CHR	V	MMC1 (1)
Alfred Chicken			128k PRG / 0k CHR	H	UNROM (2)
Algos no Senshi                 128k PRG / 0k CHR       V       UNROM (2)
